310,325,75
69,350,236
280,351,374
331,137,210
13,107,126
289,136,61
76,21,301
258,142,174
83,93,200
393,317,195
130,63,16
384,287,311
312,266,10
395,212,242
152,248,262
31,111,93
30,301,19
118,312,343
115,301,175
382,289,390
194,121,184
356,9,30
147,308,192
319,276,103
26,60,161
277,362,20
400,14,380
283,42,74
267,145,208
189,71,205
254,76,306
367,178,327
347,33,190
366,126,303
249,29,286
294,148,43
382,40,117
77,14,150
27,341,91
324,21,355
12,311,320
84,352,99
82,121,304
324,90,50
359,79,37
365,34,337
96,69,70
320,345,97
101,231,170
151,97,351
399,207,360
177,366,341
122,242,18
397,32,357
203,111,148
78,175,114
206,163,74
51,95,111
188,17,182
56,312,255
358,4,337
357,164,63
89,383,45
145,397,295
385,47,167
30,187,131
75,286,279
317,22,317
277,130,311
286,397,276
328,266,341
76,372,269
4,228,370
38,326,50
54,124,36
114,316,148
50,260,352
241,43,173
260,394,384
350,280,135
66,210,356
279,127,137
39,20,22
377,193,227
153,10,110
334,85,197
33,35,326
339,214,28
399,114,309
19,4,347
84,27,371
197,129,4
249,133,189
389,391,244
330,293,51
149,255,31
150,133,190
95,288,114
64,392,322
156,331,225
100,268,236
376,283,276
97,371,90
255,305,270
176,60,232
86,239,127
333,200,188
368,14,207
264,90,202
13,95,325
164,83,396
217,19,389
202,132,347
81,396,337
294,219,53
172,138,108
128,34,315
294,250,170
359,187,206
170,233,66
232,223,224
132,7,268
247,376,281
376,388,180
216,315,117
7,313,235
323,339,236
37,24,390
218,241,90
45,282,130
147,50,322
97,168,80
362,192,297
90,327,105
324,221,286
333,190,167
228,266,331
169,190,113
362,23,244
46,108,300
254,97,375
135,200,316
301,207,388
73,13,154
308,98,145
142,357,97
162,400,107
259,214,70
343,189,9
82,127,205
300,308,55
120,246,55
144,220,279
50,354,107
350,176,141
35,316,85
302,258,152
168,321,331
154,244,264
26,56,300
148,216,252
123,188,353
51,49,113
10,372,192
260,175,15
46,295,80
289,299,256
249,244,182
243,226,146
300,262,12
377,131,376
306,29,124
82,39,89
100,27,367
209,345,233
10,74,227
139,10,264
367,353,323
26,178,257
260,291,205
349,30,304
63,21,17
266,53,284
25,164,381
137,244,150
257,22,314
299,343,285
272,290,331
348,366,179
379,162,307
195,286,215
178,195,251
185,158,366
54,204,37
246,309,93
129,283,71
15,232,204
317,119,6
295,339,276
355,59,157
234,255,200
24,13,133
257,91,22
282,372,367
230,185,306
54,87,220
75,276,240
7,389,82
298,214,383
101,143,54
45,286,115
392,370,151
369,328,43
105,119,297
221,311,5
13,116,188
280,174,303
59,10,75
398,170,270
137,312,43
398,170,335
234,198,313
257,258,388
215,332,360
314,244,360
357,33,220
368,159,392
333,214,307
100,389,318
276,324,208
212,12,227
148,301,62
6,222,63
89,130,393
314,250,152
172,380,5
219,246,295
211,193,79
77,344,25
186,360,339
289,196,394
80,168,158
210,35,61
278,140,173
312,91,226
109,346,156
151,188,81
188,257,155
338,280,368
258,8,3
106,128,193
362,59,305
397,163,67
8,114,191
374,274,66
17,319,156
153,159,61
131,356,84
373,162,236
106,319,271
340,164,272
303,203,309
303,179,163
400,12,400
255,277,249
173,166,382
20,324,187
359,306,240
182,398,174
53,276,358
105,25,380
372,173,307
122,144,7
356,92,151
234,64,230
379,236,10
149,106,14
148,202,201
277,210,229
80,158,73
92,101,18
2,88,92
225,317,305
341,233,269
227,221,105
216,178,195
305,282,283
276,236,227
370,90,238
391,248,123
28,183,256
304,304,47
371,281,331
79,78,300
183,282,342
50,157,366
53,266,222
68,144,208
138,155,187
94,324,101
382,137,108
146,278,190
378,147,388
312,76,262
62,25,355
345,279,263
321,77,354
326,332,296
298,327,354
290,90,364
130,97,20
367,50,238
105,374,39
21,194,271
13,302,258
228,114,326
300,37,116
120,5,264
14,101,111
135,125,296
49,246,209
298,308,95
270,90,95
96,390,193
41,21,324
287,329,119
339,195,377
374,1,287
203,212,218
368,209,198
1,238,358
32,169,43
25,35,262
112,295,167
314,108,377
284,140,224
210,235,232
215,184,272
391,303,313
303,375,301
151,229,370
181,68,226
20,280,233
301,49,293
37,182,285
185,318,222
100,181,227
140,76,105
266,265,316
51,36,214
195,165,360
192,272,245
294,375,101
139,376,75
126,73,231
55,164,161
13,207,340
60,140,31
117,112,75
174,219,316
44,280,241
359,214,32
259,254,311
393,68,175
238,383,16
134,379,356
392,377,200
38,326,212
35,228,220
135,261,244
400,201,317
47,227,355
289,127,259
154,22,376
50,19,314
147,206,392
281,181,15
394,96,91
55,309,189
204,205,253
337,241,336
277,357,175
393,183,279
325,112,224
178,268,135
301,108,113
338,332,274
37,102,365
230,95,128
317,332,204
123,18,24
236,35,128
206,389,391
295,197,271
153,165,15
216,23,117
195,374,207
12,61,312
98,55,295
262,175,154
